" Datos Básicos  - Familiares que trabajan en explotaciones agrarias"
"Datos de: INDICADOR=FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS"
"FAMILIA INDICADOR",,"AGRICULTURA",
"INDICADOR",,"FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"09485 ZUÑEDA",          40,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",         198,
,"09902 VALLE DE SANTIBAÑEZ",         194,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",         488,
,"09904 VALLE DE LAS NAVAS",         273,
,"09905 VALLE DE SEDANO",         285,
,"09906 MERINDAD DE RIO UBIERNA",         390,
,"09907 ALFOZ DE QUINTANADUEÑAS",         103,
,"09908 VALLE DE LOSA",         223,
,"24001 ACEBEDO",         198,
,"24002 ALGADEFE",         189,
,"24003 ALIJA DEL INFANTADO",         616,
,"24004 ALMANZA",         197,
,"24005 ANTIGUA (LA)",         351,
,"24006 ARDON",         547,
,"24007 ARGANZA",         685,
,"24008 ASTORGA",         375,
,"24009 BALBOA",         466,
,"24010 BAÑEZA (LA)",         194,
,"24011 BARJAS",         518,
,"24012 BARRIOS DE LUNA (LOS)",         145,
,"24014 BEMBIBRE",         864,
,"24015 BENAVIDES",         654,
,"24016 BENUZA",         806,
,"24017 BERCIANOS DEL PARAMO",         444,
,"24018 BERCIANOS DEL REAL CAMINO",          95,
,"24019 BERLANGA DEL BIERZO",         390,
,"24020 BOCA DE HUERGANO",         289,
,"24021 BOÑAR",         308,
,"24022 BORRENES",         414,
,"24023 BRAZUELO",         161,
,"24024 BURGO RANERO (EL)",         354,
,"24025 BURON",         189,
,"24026 BUSTILLO DEL PARAMO",         991,
,"24027 CABAÑAS RARAS",         584,
,"24028 CABREROS DEL RIO",         255,
,"24029 CABRILLANES",         373,
,"24030 CACABELOS",        1212,
,"24031 CALZADA DEL COTO",         107,
,"24032 CAMPAZAS",         132,
,"24033 CAMPO DE VILLAVIDEL",         271,
,"24034 CAMPONARAYA",        1229,
,"24036 CANDIN",         320,
,"24037 CARMENES",         164,
,"24038 CARRACEDELO",        1401,
,"24039 CARRIZO",         679,
,"24040 CARROCERA",          58,
,"24041 CARUCEDO",         573,
,"24042 CASTILFALE",          66,
,"24043 CASTRILLO DE CABRERA",         297,
,"24044 CASTRILLO DE LA VALDUERNA",         183,
,"24046 CASTROCALBON",         778,
,"24047 CASTROCONTRIGO",         908,
,"24049 CASTROPODAME",        1947,
,"24050 CASTROTIERRA DE VALMADRIGAL",          85,
,"24051 CEA",         225,
,"24052 CEBANICO",         118,
,"24053 CEBRONES DEL RIO",         228,
,"24054 CIMANES DE LA VEGA",         397,
,"24055 CIMANES DEL TEJAR",         509,
,"24056 CISTIERNA",         390,
,"24057 CONGOSTO",        1632,
,"24058 CORBILLOS DE LOS OTEROS",         260,
,"24059 CORULLON",        1363,
,"24060 CREMENES",         256,
,"24061 CUADROS",        1142,
,"24062 CUBILLAS DE LOS OTEROS",          85,
,"24063 CUBILLAS DE RUEDA",         280,
,"24064 CUBILLOS DEL SIL",         672,
,"24065 CHOZAS DE ABAJO",         922,
,"24066 DESTRIANA",         549,
,"24067 ENCINEDO",         521,
,"24068 ERCINA (LA)",         536,
,"24069 ESCOBAR DE CAMPOS",          37,
,"24070 FABERO",         482,
,"24071 FOLGOSO DE LA RIBERA",         888,
,"24073 FRESNO DE LA VEGA",         239,
,"24074 FUENTES DE CARBAJAL",          76,
,"24076 GARRAFE DE TORIO",         497,
,"24077 GORDALIZA DEL PINO",         230,
,"24078 GORDONCILLO",         136,
,"24079 GRADEFES",         607,
,"24080 GRAJAL DE CAMPOS",          91,
,"24081 GUSENDOS DE LOS OTEROS",         119,
,"24082 HOSPITAL DE ORBIGO",         152,
,"24083 IGÜEÑA",         503,
,"24084 IZAGRE",         184,
,"24086 JOARILLA DE LAS MATAS",         158,
,"24087 LAGUNA DALGA",         399,
,"24088 LAGUNA DE NEGRILLOS",         753,
,"24089 LEON",         213,
,"24090 LUCILLO",         199,
,"24091 LUYEGO",         303,
,"24092 LLAMAS DE LA RIBERA",         766,
,"24093 MAGAZ DE CEPEDA",         404,
,"24094 MANSILLA DE LAS MULAS",         124,
,"24095 MANSILLA MAYOR",         182,
,"24096 MARAÑA",         119,
,"24097 MATADEON DE LOS OTEROS",         113,
,"24098 MATALLANA DE TORIO",         466,
,"24099 MATANZA",         112,
,"24100 MOLINASECA",         198,
,"24101 MURIAS DE PAREDES",         483,
,"24102 NOCEDA DEL BIERZO",         905,
,"24103 OENCIA",         458,
,"24104 OMAÑAS (LAS)",         277,
,"24105 ONZONILLA",         502,
,"24106 OSEJA DE SAJAMBRE",         251,
,"24107 PAJARES DE LOS OTEROS",         222,
,"24108 PALACIOS DE LA VALDUERNA",         243,
,"24109 PALACIOS DEL SIL",         655,
,"24110 PARAMO DEL SIL",         720,
,"24111 PEDROSA DEL REY",          18,
,"24112 PERANZANES",         351,
,"24113 POBLADURA DE PELAYO GARCIA",         319,
,"24114 POLA DE GORDON (LA)",         386,
,"24115 PONFERRADA",        3249,
,"24116 POSADA DE VALDEON",         272,
,"24117 POZUELO DEL PARAMO",         378,
,"24118 PRADO DE LA GUZPEÑA",          70,
,"24119 PRIARANZA DEL BIERZO",         677,
,"24120 PRIORO",         198,
,"24121 PUEBLA DE LILLO",         182,
,"24122 PUENTE DE DOMINGO FLOREZ",         326,
,"24123 QUINTANA DEL CASTILLO",         768,
,"24124 QUINTANA DEL MARCO",         204,
,"24125 QUINTANA Y CONGOSTO",         402,
,"24127 REGUERAS DE ARRIBA",         180,
,"24129 REYERO",          98,
,"24130 RIAÑO",         117,
,"24131 RIEGO DE LA VEGA",         447,
,"24132 RIELLO",         326,
,"24133 RIOSECO DE TAPIA",         246,
,"24134 ROBLA (LA)",         662,
,"24136 ROPERUELOS DEL PARAMO",         372,
,"24137 SABERO",         221,
,"24139 SAHAGUN",         368,
,"24141 SAN ADRIAN DEL VALLE",          72,
,"24142 SAN ANDRES DEL RABANEDO",         277,
,"24143 SANCEDO",         366,
,"24144 SAN CRISTOBAL DE LA POLANTERA",         429,
,"24145 SAN EMILIANO",         442,
,"24146 SAN ESTEBAN DE NOGALES",         212,
,"24148 SAN JUSTO DE LA VEGA",         671,
,"24149 SAN MILLAN DE LOS CABALLEROS",         107,
,"24150 SAN PEDRO BERCIANOS",         234,
,"24151 SANTA COLOMBA DE CURUEÑO",         259,
,"24152 SANTA COLOMBA DE SOMOZA",         296,
,"24153 SANTA CRISTINA DE VALMADRIGAL",         100,
,"24154 SANTA ELENA DE JAMUZ",         593,
,"24155 SANTA MARIA DE LA ISLA",         304,
,"24156 SANTA MARIA DEL MONTE DE CEA",         208,
,"24157 SANTA MARIA DEL PARAMO",         269,
,"24158 SANTA MARIA DE ORDAS",         294,
,"24159 SANTA MARINA DEL REY",         962,
,"24160 SANTAS MARTAS",         410,
,"24161 SANTIAGO MILLAS",         309,
,"24162 SANTOVENIA DE LA VALDONCINA",         301,
,"24163 SARIEGOS",         488,
,"24164 SENA DE LUNA",         318,
,"24165 SOBRADO",         515,
,"24166 SOTO DE LA VEGA",         746,
,"24167 SOTO Y AMIO",         260,
,"24168 TORAL DE LOS GUZMANES",         208,
,"24169 TORENO",        1294,
,"24170 TORRE DEL BIERZO",         859,
,"24171 TRABADELO",         676,
,"24172 TRUCHAS",         897,
,"24173 TURCIA",         750,
,"24174 URDIALES DEL PARAMO",         433,
,"24175 VALDEFRESNO",         842,
,"24176 VALDEFUENTES DEL PARAMO",         256,
,"24177 VALDELUGUEROS",         176,
,"24178 VALDEMORA",          57,
,"24179 VALDEPIELAGO",         178,
,"24180 VALDEPOLO",         758,
,"24181 VALDERAS",         469,
,"24182 VALDERREY",         304,
,"24183 VALDERRUEDA",         299,
,"24184 VALDESAMARIO",         190,
,"24185 VAL DE SAN LORENZO",         331,
,"24187 VALDEVIMBRE",        1054,
,"24188 VALENCIA DE DON JUAN",         175,
,"24189 VALVERDE DE LA VIRGEN",         252,
,"24190 VALVERDE-ENRIQUE",         109,
,"24191 VALLECILLO",         101,
,"24193 VECILLA (LA)",         146,
,"24194 VEGACERVERA",          44,
,"24196 VEGA DE ESPINAREDA",        1402,
,"24197 VEGA DE INFANZONES",         428,
,"24198 VEGA DE VALCARCE",        1126,
,"24199 VEGAQUEMADA",         208,
,"24201 VEGAS DEL CONDADO",         600,
,"24202 VILLABLINO",         857,
,"24203 VILLABRAZ",          70,
,"24205 VILLADANGOS DEL PARAMO",         412,
,"24206 TORAL DE LOS VADOS",         742,
,"24207 VILLADEMOR DE LA VEGA",         260,
,"24209 VILLAFRANCA DEL BIERZO",         918,
,"24210 VILLAGATON",         431,
,"24211 VILLAMANDOS",         244,
,"24212 VILLAMAÑAN",         475,
,"24213 VILLAMARTIN DE DON SANCHO",          74,
,"24214 VILLAMEJIL",         686,
,"24215 VILLAMOL",         121,
,"24216 VILLAMONTAN DE LA VALDUERNA",         645,
,"24217 VILLAMORATIEL DE LAS MATAS",          90,
,"24218 VILLANUEVA DE LAS MANZANAS",         319,
,"24219 VILLAOBISPO DE OTERO",         307,
,"24221 VILLAQUEJIDA",         369,
,"24222 VILLAQUILAMBRE",         393,
,"24223 VILLAREJO DE ORBIGO",         587,
,"24224 VILLARES DE ORBIGO",         408,
,"24225 VILLASABARIEGO",         370,
,"24226 VILLASELAN",         155,
,"24227 VILLATURIEL",         821,
,"24228 VILLAZALA",         597,
,"24229 VILLAZANZO DE VALDERADUEY",         275,
,"24230 ZOTES DEL PARAMO",         626,
,"24901 VILLAMANIN",         531,
,"24902 VILLAORNATE Y CASTRO",         121,
,"34001 ABARCA DE CAMPOS",          22,
,"34003 ABIA DE LAS TORRES",          76,
,"34004 AGUILAR DE CAMPOO",         518,
,"34005 ALAR DEL REY",         148,
,"34006 ALBA DE CERRATO",          47,
,"34009 AMAYUELAS DE ARRIBA",          18,
,"34010 AMPUDIA",         134,
,"34011 AMUSCO",         109,
,"34012 ANTIGÜEDAD",          83,
,"34015 ARCONADA",          36,
,"34017 ASTUDILLO",         133,
,"34018 AUTILLA DEL PINO",          47,
,"34019 AUTILLO DE CAMPOS",          67,
,"34020 AYUELA",          29,
,"34022 BALTANAS",         336,
,"34023 VENTA DE BAÑOS",          91,
,"34024 BAQUERIN DE CAMPOS",          19,
,"34025 BARCENA DE CAMPOS",          12,
,"34027 BARRUELO DE SANTULLAN",         152,
,"34028 BASCONES DE OJEDA",          78,
,"34029 BECERRIL DE CAMPOS",         388,
,"34031 BELMONTE DE CAMPOS",          25,
,"34032 BERZOSILLA",          36,
,"34033 BOADA DE CAMPOS",          16,
,"34034 BOADILLA DEL CAMINO",          35,
,"34035 BOADILLA DE RIOSECO",         120,
,"34036 BRAÑOSERA",         109,
,"34037 BUENAVISTA DE VALDAVIA",         107,
,"34038 BUSTILLO DE LA VEGA",         165,
,"34039 BUSTILLO DEL PARAMO DE CARRION",          47,
,"34041 CALAHORRA DE BOEDO",          50,
,"34042 CALZADA DE LOS MOLINOS",         100,
,"34045 CAPILLAS",          28,
,"34046 CARDEÑOSA DE VOLPEJERA",          18,
,"34047 CARRION DE LOS CONDES",         141,
,"34048 CASTIL DE VELA",          46,
,"34049 CASTREJON DE LA PEÑA",         160,
,"34050 CASTRILLO DE DON JUAN",          78,
,"34051 CASTRILLO DE ONIELO",          45,
,"34052 CASTRILLO DE VILLAVEGA",          61,
,"34053 CASTROMOCHO",          54,
,"34055 CERVATOS DE LA CUEZA",          96,
,"34056 CERVERA DE PISUERGA",         335,
,"34057 CEVICO DE LA TORRE",         132,
,"34058 CEVICO NAVERO",          75,
,"34059 CISNEROS",         141,
,"34060 COBOS DE CERRATO",          87,
,"34061 COLLAZOS DE BOEDO",          72,
,"34062 CONGOSTO DE VALDAVIA",          98,
,"34063 CORDOVILLA LA REAL",           6,
,"34066 CUBILLAS DE CERRATO",          38,
,"34067 DEHESA DE MONTEJO",          40,
,"34068 DEHESA DE ROMANOS",          30,
,"34069 DUEÑAS",         200,
,"34070 ESPINOSA DE CERRATO",          84,
,"34071 ESPINOSA DE VILLAGONZALO",          62,
,"34072 FRECHILLA",         114,
,"34073 FRESNO DEL RIO",          83,
,"34074 FROMISTA",          88,
,"34076 FUENTES DE NAVA",         257,
,"34077 FUENTES DE VALDEPERO",          61,
,"34079 GRIJOTA",          94,
,"34080 GUARDO",         123,
,"34081 GUAZA DE CAMPOS",          64,
,"34082 HERMEDES DE CERRATO",          47,
,"34083 HERRERA DE PISUERGA",         249,
,"34084 HERRERA DE VALDECAÑAS",          51,
,"34086 HONTORIA DE CERRATO",          35,
,"34087 HORNILLOS DE CERRATO",          80,
,"34088 HUSILLOS",          65,
,"34089 ITERO DE LA VEGA",          82,
,"34091 LAGARTOS",          73,
,"34092 LANTADILLA",          88,
,"34093 VID DE OJEDA (LA)",          80,
,"34094 LEDIGOS",          42,
,"34096 LOMAS",          28,
,"34098 MAGAZ DE PISUERGA",          60,
,"34099 MANQUILLOS",          46,
,"34100 MANTINOS",          57,
,"34101 MARCILLA DE CAMPOS",          16,
,"34102 MAZARIEGOS",          48,
,"34103 MAZUECOS DE VALDEGINATE",          73,
,"34104 MELGAR DE YUSO",          83,
,"34106 MENESES DE CAMPOS",          32,
,"34107 MICIECES DE OJEDA",          80,
,"34108 MONZON DE CAMPOS",          60,
,"34109 MORATINOS",          44,
,"34110 MUDA",          41,
,"34112 NOGAL DE LAS HUERTAS",          41,
,"34113 OLEA DE BOEDO",          13,
,"34114 OLMOS DE OJEDA",         256,
,"34116 OSORNILLO",          30,
,"34120 PALENCIA",         597,
,"34121 PALENZUELA",         120,
,"34122 PARAMO DE BOEDO",          49,
,"34123 PAREDES DE NAVA",         493,
,"34124 PAYO DE OJEDA",          50,
,"34125 PEDRAZA DE CAMPOS",          42,
,"34126 PEDROSA DE LA VEGA",         151,
,"34127 PERALES",          62,
,"34129 PINO DEL RIO",         143,
,"34130 PIÑA DE CAMPOS",          57,
,"34131 POBLACION DE ARROYO",          33,
,"34132 POBLACION DE CAMPOS",          66,
,"34133 POBLACION DE CERRATO",          43,
,"34134 POLENTINOS",          44,
,"34135 POMAR DE VALDIVIA",         223,
,"34136 POZA DE LA VEGA",          97,
,"34137 POZO DE URAMA",          22,
,"34139 PRADANOS DE OJEDA",          53,
,"34140 PUEBLA DE VALDAVIA (LA)",          59,
,"34141 QUINTANA DEL PUENTE",          20,
,"34143 QUINTANILLA DE ONSOÑA",          96,
,"34146 REINOSO DE CERRATO",          18,
,"34147 RENEDO DE LA VEGA",          96,
,"34149 REQUENA DE CAMPOS",          23,
,"34151 RESPENDA DE LA PEÑA",         100,
,"34152 REVENGA DE CAMPOS",          49,
,"34154 REVILLA DE COLLAZOS",          32,
,"34155 RIBAS DE CAMPOS",          20,
,"34156 RIBEROS DE LA CUEZA",          26,
,"34157 SALDAÑA",         247,
,"34158 SALINAS DE PISUERGA",          69,
,"34159 SAN CEBRIAN DE CAMPOS",          86,
,"34160 SAN CEBRIAN DE MUDA",          98,
,"34161 SAN CRISTOBAL DE BOEDO",          19,
,"34163 SAN MAMES DE CAMPOS",          22,
,"34165 SAN ROMAN DE LA CUBA",          42,
,"34167 SANTA CECILIA DEL ALCOR",          26,
,"34168 SANTA CRUZ DE BOEDO",          19,
,"34169 SANTERVAS DE LA VEGA",         175,
,"34170 SANTIBAÑEZ DE ECLA",          42,
,"34171 SANTIBAÑEZ DE LA PEÑA",         370,
,"34174 SANTOYO",          64,
,"34175 SERNA (LA)",          49,
,"34176 SOTOBAÑADO Y PRIORATO",          58,
,"34177 SOTO DE CERRATO",          40,
,"34178 TABANERA DE CERRATO",          52,
,"34179 TABANERA DE VALDAVIA",          25,
,"34180 TAMARA DE CAMPOS",          26,
,"34181 TARIEGO DE CERRATO",          86,
,"34182 TORQUEMADA",         128,
,"34184 TORREMORMOJON",          22,
,"34185 TRIOLLO",          34,
,"34186 VALBUENA DE PISUERGA",          30,
,"34189 VALDEOLMILLOS",          27,
,"34190 VALDERRABANO",          42,
,"34192 VALDE-UCIEZA",          97,
,"34196 VALLE DE CERRATO",          42,
,"34199 VELILLA DEL RIO CARRION",         241,
,"34201 VERTAVILLO",          73,
,"34202 VILLABASTA DE VALDAVIA",          14,
,"34204 VILLACIDALER",          43,
,"34205 VILLACONANCIO",          43,
,"34206 VILLADA",          86,
,"34208 VILLAELES DE VALDAVIA",          32,
,"34210 VILLAHAN",          36,
,"34211 VILLAHERREROS",          74,
,"34213 VILLALACO",          16,
,"34214 VILLALBA DE GUARDO",          47,
,"34215 VILLALCAZAR DE SIRGA",          47,
,"34216 VILLALCON",          36,
,"34217 VILLALOBON",          86,
,"34218 VILLALUENGA DE LA VEGA",         310,
,"34220 VILLAMARTIN DE CAMPOS",          55,
,"34221 VILLAMEDIANA",          47,
,"34222 VILLAMERIEL",          60,
,"34223 VILLAMORONTA",         105,
,"34224 VILLAMUERA DE LA CUEZA",          34,
,"34225 VILLAMURIEL DE CERRATO",         125,
,"34227 VILLANUEVA DEL REBOLLAR",          33,
,"34228 VILLANUÑO DE VALDAVIA",          35,
,"34229 VILLAPROVEDO",          32,
,"34230 VILLARMENTERO DE CAMPOS",           7,
,"34231 VILLARRABE",         124,
,"34232 VILLARRAMIEL",          87,
,"34233 VILLASARRACINO",          60,
,"34234 VILLASILA DE VALDAVIA",          42,
,"34236 VILLATURDE",         125,
,"34237 VILLAUMBRALES",         226,
,"34238 VILLAVIUDAS",         109,
,"34240 VILLERIAS DE CAMPOS",          41,
,"34241 VILLODRE",          22,
,"34242 VILLODRIGO",          17,
,"34243 VILLOLDO",          83,
,"34245 VILLOTA DEL PARAMO",         174,
,"34246 VILLOVIECO",          43,
,"34901 OSORNO LA MAYOR",         188,
,"34902 VALLE DEL RETORTILLO",         121,
,"34903 LOMA DE UCIEZA",          93,
,"34904 PERNIA (LA)",         241,
,"37001 ABUSEJO",          55,
,"37002 AGALLAS",         140,
,"37003 AHIGAL DE LOS ACEITEROS",          88,
,"37004 AHIGAL DE VILLARINO",          35,
,"37005 ALAMEDA DE GARDON (LA)",          79,
,"37006 ALAMEDILLA (LA)",          32,
,"37007 ALARAZ",         156,
,"37008 ALBA DE TORMES",         308,
,"37009 ALBA DE YELTES",          82,
,"37010 ALBERCA (LA)",         458,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",          68,
,"37012 ALCONADA",          60,
,"37013 ALDEACIPRESTE",         135,
,"37014 ALDEADAVILA DE LA RIBERA",         479,
,"37015 ALDEA DEL OBISPO",         147,
,"37016 ALDEALENGUA",          28,
,"37017 ALDEANUEVA DE FIGUEROA",         145,
,"37018 ALDEANUEVA DE LA SIERRA",          58,
,"37019 ALDEARRODRIGO",          53,
,"37020 ALDEARRUBIA",         188,
,"37021 ALDEASECA DE ALBA",          56,
,"37022 ALDEASECA DE LA FRONTERA",         117,
,"37023 ALDEATEJADA",          50,
,"37024 ALDEAVIEJA DE TORMES",          38,
,"37025 ALDEHUELA DE LA BOVEDA",          33,
,"37026 ALDEHUELA DE YELTES",         138,
,"37027 ALMENARA DE TORMES",          44,
,"37028 ALMENDRA",          63,
,"37029 ANAYA DE ALBA",         109,
,"37030 AÑOVER DE TORMES",          60,
,"37031 ARABAYONA DE MOGICA",         149,
,"37032 ARAPILES",          56,
,"37033 ARCEDIANO",          55,
,"37034 ARCO (EL)",          22,
,"37035 ARMENTEROS",          79,
,"37036 SAN MIGUEL DEL ROBLEDO",          50,
,"37037 ATALAYA (LA)",         104,
,"37038 BABILAFUENTE",         176,
,"37039 BAÑOBAREZ",         115,
,"37040 BARBADILLO",         130,
,"37041 BARBALOS",          77,
,"37042 BARCEO",          28,
,"37044 BARRUECOPARDO",          96,
,"37045 BASTIDA (LA)",          33,
,"37046 BEJAR",         131,
,"37047 BELEÑA",          23,
,"37049 BERMELLAR",          83,
,"37050 BERROCAL DE HUEBRA",          60,
,"37051 BERROCAL DE SALVATIERRA",          53,
,"37052 BOADA",          77,
,"37054 BODON (EL)",          89,
,"37055 BOGAJO",          94,
,"37056 BOUZA (LA)",          38,
,"37057 BOVEDA DEL RIO ALMAR",          95,
,"37058 BRINCONES",          45,
,"37059 BUENAMADRE",          45,
,"37060 BUENAVISTA",          34,
,"37061 CABACO (EL)",         102,
,"37062 CABEZABELLOSA DE LA CALZADA",          76,
,"37063 CABEZA DE BEJAR (LA)",          70,
,"37065 CABEZA DEL CABALLO",         172,
,"37067 CABRERIZOS",          99,
,"37068 CABRILLAS",          74,
,"37069 CALVARRASA DE ABAJO",         386,
,"37070 CALVARRASA DE ARRIBA",         158,
,"37071 CALZADA DE BEJAR (LA)",          80,
,"37072 CALZADA DE DON DIEGO",          64,
,"37073 CALZADA DE VALDUNCIEL",         117,
,"37074 CAMPILLO DE AZABA",         125,
,"37077 CAMPO DE PEÑARANDA (EL)",         171,
,"37078 CANDELARIO",          91,
,"37079 CANILLAS DE ABAJO",          51,
,"37080 CANTAGALLO",         106,
,"37081 CANTALAPIEDRA",         172,
,"37082 CANTALPINO",         404,
,"37083 CANTARACILLO",          78,
,"37085 CARBAJOSA DE LA SAGRADA",          81,
,"37086 CARPIO DE AZABA",          37,
,"37087 CARRASCAL DE BARREGAS",          54,
,"37088 CARRASCAL DEL OBISPO",          24,
,"37089 CASAFRANCA",          58,
,"37090 CASAS DEL CONDE (LAS)",          28,
,"37091 CASILLAS DE FLORES",          95,
,"37092 CASTELLANOS DE MORISCOS",          62,
,"37096 CASTILLEJO DE MARTIN VIEJO",         137,
,"37097 CASTRAZ",          21,
,"37098 CEPEDA",         182,
,"37099 CERECEDA DE LA SIERRA",          61,
,"37100 CEREZAL DE PEÑAHORCADA",          82,
,"37101 CERRALBO",         106,
,"37102 CERRO (EL)",         285,
,"37103 CESPEDOSA DE TORMES",         346,
,"37104 CILLEROS DE LA BASTIDA",          26,
,"37106 CIPEREZ",          83,
,"37107 CIUDAD RODRIGO",         605,
,"37108 COCA DE ALBA",          46,
,"37109 COLMENAR DE MONTEMAYOR",         134,
,"37110 CORDOVILLA",          55,
,"37112 CRISTOBAL",         127,
,"37113 CUBO DE DON SANCHO (EL)",          91,
,"37114 CHAGARCIA MEDIANERO",          37,
,"37115 DIOS LE GUARDE",          71,
,"37116 DOÑINOS DE LEDESMA",          50,
,"37117 DOÑINOS DE SALAMANCA",          49,
,"37118 EJEME",          75,
,"37119 ENCINA (LA)",          89,
,"37120 ENCINA DE SAN SILVESTRE",          39,
,"37121 ENCINAS DE ABAJO",         203,
,"37122 ENCINAS DE ARRIBA",          47,
,"37123 ENCINASOLA DE LOS COMENDADORES",         140,
,"37124 ENDRINAL",         105,
,"37125 ESCURIAL DE LA SIERRA",         124,
,"37126 ESPADAÑA",          25,
,"37127 ESPEJA",         100,
,"37128 ESPINO DE LA ORBADA",          81,
,"37129 FLORIDA DE LIEBANA",          41,
,"37130 FORFOLEDA",          60,
,"37131 FRADES DE LA SIERRA",          34,
,"37132 FREGENEDA (LA)",         143,
,"37133 FRESNEDOSO",          90,
,"37134 FRESNO ALHANDIGA",          77,
,"37135 FUENTE DE SAN ESTEBAN (LA)",         116,
,"37136 FUENTEGUINALDO",         136,
,"37137 FUENTELIANTE",          55,
,"37138 FUENTERROBLE DE SALVATIERRA",         177,
,"37139 FUENTES DE BEJAR",          40,
,"37140 FUENTES DE OÑORO",          62,
,"37141 GAJATES",          61,
,"37142 GALINDO Y PERAHUY",          57,
,"37143 GALINDUSTE",          77,
,"37144 GALISANCHO",         114,
,"37145 GALLEGOS DE ARGAÑAN",          59,
,"37146 GALLEGOS DE SOLMIRON",         114,
,"37147 GARCIBUEY",         117,
